Identificador,Municipio Siembra,Nombre Lote,Ubicación,Area,Número Árboles Sembrados
1,CALDAS,CRNR LOTE 1,SENA LA SALADA,RURAL,128.000000
2,CALDAS,CRNR LOTE 2,SENA LA SALADA,RURAL,110.000000
3,CALDAS,CRNR LOTE 3,SENA LA SALADA,RURAL,26.000000
4,CALDAS,CRNR LOTE 4,SENA LA SALADA,RURAL,25.000000
5,SABANETA,ROMERA 1,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,2229.000000
6,SABANETA,ROMERA 2,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,1471.000000
7,SABANETA,ROMERA 3,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,205.000000
8,SABANETA,ROMERA 4,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,1505.000000
9,SABANETA,ROMERA 5,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,2640.000000
10,SABANETA,ROMERA 6,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,1661.000000
11,SABANETA,ROMERA 7,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,8539.000000
12,SABANETA,BERLIN,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,975.000000
13,SABANETA,EL CANALON,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,1308.000000
14,SABANETA,BELLAVISTA,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,52308.000000
15,LA ESTRELLA,EL SILENCIO,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,16876.000000
16,LA ESTRELLA,EL ORO 1,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,3248.000000
17,LA ESTRELLA,EL ORO 2,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,221.000000
18,LA ESTRELLA,LA RAYA,RESERVA ECOLOGICA LA ROMERA,PERIURBANO,2694.000000
19,LA ESTRELLA,MIRAFLORES,MIRAFLORES,PERIURBANO,1420.000000
20,BARBOSA,MONTELORO 1A,GRANJA MONTELORO,RURAL,10848.000000
21,BARBOSA,MONTELORO 1B,GRANJA MONTELORO,RURAL,20866.000000
22,BARBOSA,MONTELORO 2C,GRANJA MONTELORO,RURAL,11533.000000
23,BARBOSA,MONTELORO 2D,GRANJA MONTELORO,RURAL,7840.000000
24,BARBOSA,MONTELORO 2E,GRANJA MONTELORO,RURAL,6333.000000
25,ITAGUI,LA MARIA,VEREDA LA MARIA -CORREGIMIENTO MANZANILLO,PERIURBANO,1610.000000
26,ITAGUI,EL PORVENIR,VEREDA EL AJIZAL,PERIURBANO,5550.000000
27,COPACABANA,EL CABUYAL 2,FABRICA DE AGUA EL CABUYAL,PERIURBANO,4652.000000
28,MEDELLIN,LA MONTANA,CARABINEROS FINCA LA MONTANA,PERIURBANO,8259.000000
29,LA ESTRELLA,EL ROMERAL LOTE 1,RESERVA ECOLOGICA EL ROMERAL,PERIURBANO,23816.000000
30,LA ESTRELLA,EL ROMERAL LOTE 2,RESERVA ECOLOGICA EL ROMERAL,PERIURBANO,6464.000000
31,BELLO,QUITASOL LOTE 2,CERRO EL QUITASOL,PERIURBANO,5665.000000
32,BELLO,QUITASOL LOTE 3,CERRO EL QUITASOL,PERIURBANO,2466.000000
33,BELLO,QUITASOL LOTE 1,CERRO EL QUITASOL,PERIURBANO,8305.000000
34,BELLO,QUITASOL LOTE 15,CERRO EL QUITASOL,PERIURBANO,940.000000
35,BELLO,QUITASOL LOTE 9,CERRO EL QUITASOL,PERIURBANO,21200.000000
36,BELLO,QUITASOL LOTE 8,CERRO EL QUITASOL,PERIURBANO,13190.000000
37,BELLO,QUITASOL LOTE 7,CERRO EL QUITASOL,PERIURBANO,17111.000000
38,BELLO,QUITASOL LOTE 10,CERRO EL QUITASOL,PERIURBANO,10240.000000
39,BELLO,QUITASOL LOTE 16,CERRO EL QUITASOL,PERIURBANO,1967.000000
40,BELLO,QUITASOL LOTE 11,CERRO EL QUITASOL,PERIURBANO,9492.000000
41,BELLO,QUITASOL LOTE 17,CERRO EL QUITASOL,PERIURBANO,14623.000000
42,BELLO,QUITASOL LOTE 12,CERRO EL QUITASOL,PERIURBANO,15436.000000
43,BELLO,QUITASOL LOTE 19,CERRO EL QUITASOL,PERIURBANO,14226.000000
44,BELLO,QUITASOL LOTE 6,CERRO EL QUITASOL,PERIURBANO,15370.000000
45,BELLO,QUITASOL LOTE 5,CERRO EL QUITASOL,PERIURBANO,4290.000000
46,BELLO,QUITASOL LOTE 4,CERRO EL QUITASOL,PERIURBANO,4280.000000
47,BELLO,QUITASOL LOTE 13,CERRO EL QUITASOL,PERIURBANO,840.000000
48,BELLO,QUITASOL LOTE 14,CERRO EL QUITASOL,PERIURBANO,581.000000
49,BELLO,QUITASOL LOTE 18,CERRO EL QUITASOL,PERIURBANO,1433.000000
50,MEDELLIN,S.N EPM2,SANTA ELENA - VEREDA MAZO,RURAL,1200.000000
51,MEDELLIN,S.N EPM5,SANTA ELENA - VEREDA PIEDRA GORDA,RURAL,260.000000
52,MEDELLIN,LA GLORIETA,SANTA ELENA - VEREDA EL LLANO SE,RURAL,1305.000000
53,MEDELLIN,LAS PALETAS,SANTA ELENA - VEREDA EL LLANO SE,RURAL,415.000000
54,MEDELLIN,LA MONTANA PM 105,SAN SEBASTIAN DE PALMITAS - PALMITAS SECTOR CENTRAL,RURAL,27602.000000
55,MEDELLIN,LAS PALETAS,SANTA ELENA - VEREDA EL LLANO SE,RURAL,300.000000
56,MEDELLIN,S.N EPM3,SANTA ELENA - VEREDA MAZO,PERIURBANO,1200.000000
57,MEDELLIN,MORAL MORALITO,SAN CRISTOBAL - LA PALMA,PERIURBANO,2830.000000
58,MEDELLIN,LA AGUADITA II,SAN CRISTOBAL - LA PALMA,RURAL,730.000000
59,MEDELLIN,LA CHINA 92,SAN SEBASTIAN DE PALMITAS - LA SUIZA,RURAL,10400.000000
60,MEDELLIN,S.N EPM4 80,SANTA ELENA - VEREDA MAZO,RURAL,820.000000
61,MEDELLIN,LAS PALETAS 90,SANTA ELENA - VEREDA EL LLANO SE,RURAL,10.000000
62,MEDELLIN,MANZANILLO 94,ALTAVISTA - EL JARDIN,PERIURBANO,48.000000
63,MEDELLIN,LA CHINA 96,SAN SEBASTIAN DE PALMITAS - LA SUIZA,PERIURBANO,12200.000000
64,MEDELLIN,ECOPARQUE LA PERLA,ALATAVISTA - BUGA PATIO BONITO,PERIURBANO,100.000000
65,MEDELLIN,S.N EPM3 82,SANTA ELENA - VEREDA MAZO,RURAL,60.000000
66,MEDELLIN,LOS GRISALES,SANTA ELENA - VEREDA EL PLACER,RURAL,2180.000000
67,MEDELLIN,LA MONTANA 103,PALMITAS SECTOR CENTRAL,RURAL,16905.000000
68,MEDELLIN,CERRO EL VOLADOR,ECOPARQUE CERRO EL VOLADOR,PERIURBANO,8303.000000
69,MEDELLIN,S.N EPM4 83,SANTA ELENA - VEREDA MAZO,RURAL,2300.000000
70,MEDELLIN,EL PAPI 99,ALTAVISTA - BUGA PATIO BONITO,PERIURBANO,1123.000000
71,MEDELLIN,UNALMED 85,SANTA ELENA - VEREDA PIEDRAS BLANCAS - MATASANO,RURAL,300.000000
72,MEDELLIN,CASCANUECES I 106,SAN SEBASTIAN DE PALMITAS - VOLCANA GUAYABAL,RURAL,7118.000000
73,MEDELLIN,CERRO PAN DE AZUCAR 110,SANTA ELENA ÔÇô VEREDA PIEDRAS BLANCAS - MATASANO,PERIURBANO,3819.000000
74,MEDELLIN,CERRO EL VOLADOR 107,ECOPARQUE CERRO EL VOLADOR,PERIURBANO,6671.000000
75,MEDELLIN,LA PAZ 111,SAN ANTONIO DE PRADO URBANO,PERIURBANO,1562.000000
76,MEDELLIN,LA PLATANERA 108,ALATAVISTA - EL JARDIN,PERIURBANO,5902.000000
77,MEDELLIN,LOS RESTREPO 91,ALTAVISTA - AGUAS FRIAS,PERIURBANO,1625.000000
78,MEDELLIN,LA MOLINA 84,ALTAVISTA -AGUAS FRIAS,PERIURBANO,28225.000000
79,MEDELLIN,LA HUERTA 87,SANTA ELENA - VEREDA EL LLANO SE,RURAL,280.000000
80,MEDELLIN,CASCANUECES  II 113,SAN SEBASTIAN DE PALMITAS - VOLCANA GUAYABAL,RURAL,21006.000000
81,MEDELLIN,LA PERSEA 114,SAN SEBASTIAN DE PALMITAS - PALMITAS SECTOR CENTRAL,RURAL,17360.000000
82,MEDELLIN,LOS ALVAREZ - EL CASTILLO 119,ALTAVISTA - AGUAS FRIAS,PERIURBANO,5382.000000
83,MEDELLIN,LOS ALVAREZ - LAS PLAYAS 120,ALTAVISTA - AGUAS FRIAS,PERIURBANO,3298.000000
84,MEDELLIN,CERRO NUTIBARA 116,CERRO NUTIBARA,PERIURBANO,100.000000
85,MEDELLIN,CERRO NUTIBARA 115,CERRO NUTIBARA,PERIURBANO,200.000000
86,MEDELLIN,CERRO EL VOLADOR 117,ECOPARQUE CERRO EL VOLADOR,PERIURBANO,457.000000
87,MEDELLIN,CERRO EL VOLADOR 118,ECOPARQUE CERRO EL VOLADOR,PERIURBANO,400.000000
88,MEDELLIN,CERRO LA ASOMADERA 112,"BARRIOS: SAN DIEGO, LAS PALMAS, LA ASOMADERA1",PERIURBANO,500.000000
89,MEDELLIN,CERRO EL VOLADOR 121,ECOPARQUE CERRO EL VOLADOR,PERIURBANO,10264.000000
90,MEDELLIN,CUARTICO AZUL 122,ALTAVISTA - AGUAS FRIAS,PERIURBANO,10961.000000
91,MEDELLIN,LA GRANJA 127,ALTAVISTA - AGUAS FRIAS,PERIURBANO,19096.000000
92,MEDELLIN,LA GRANJA UNAL 128,ALTAVISTA - AGUAS FRIAS,PERIURBANO,6944.000000
93,MEDELLIN,VOLADOR PM 129,ECOPARQUE CERRO EL VOLADOR,PERIURBANO,100.000000
94,MEDELLIN,LOS ALVAREZ LOTE 5,ALTAVISTA - AGUAS FRIAS,PERIURBANO,2604.000000
95,MEDELLIN,EL CEDRO I 126,ALTAVISTA - AGUAS FRIAS,PERIURBANO,8506.000000
96,MEDELLIN,EL CEDRO II 124,ALTAVISTA - AGUAS FRIAS,PERIURBANO,21180.000000
97,MEDELLIN,VILLA PAULINA 123,ALTAVISTA - AGUAS FRIAS,PERIURBANO,9425.000000
98,GIRARDOTA,LA CALERA,VEREDA LA CALERA,RURAL,5919.000000
99,BELLO,QUITASOL CORRALES 1,CERRO EL QUITASOL,PERIURBANO,4868.000000
100,BELLO,QUITASOL CORRALES 2,CERRO EL QUITASOL,PERIURBANO,1132.000000
0,SABANETA,DISPERSO,DISPERSO,URBANO,80.000000
0,LA ESTRELLA,DISPERSO,DISPERSO,URBANO,40.000000
0,GIRARDOTA,DISPERSO,DISPERSO,URBANO,2935.000000
0,ENVIGADO,DISPERSO,DISPERSO,URBANO,3854.000000
0,COPACABANA,DISPERSO,DISPERSO,URBANO,4967.000000
0,BELLO,DISPERSO,DISPERSO,URBANO,7053.000000
0,BARBOSA,DISPERSO,DISPERSO,URBANO,432.000000
0,MEDELL├ìN,DISPERSO,DISPERSO,URBANO,72210.000000
0,ITAG├£├ì,DISPERSO,DISPERSO,URBANO,2223.000000
0,CALDAS,DISPERSO,DISPERSO,URBANO,255.000000
0,ITAG├£├ì,DISPERSO,DISPERSO,PERIURBANO,1429.000000
0,MEDELL├ìN,DISPERSO,DISPERSO,PERIURBANO,52555.000000
0,BARBOSA,DISPERSO,DISPERSO,PERIURBANO,95944.000000
0,BELLO,DISPERSO,DISPERSO,PERIURBANO,14870.000000
0,CALDAS,DISPERSO,DISPERSO,PERIURBANO,3240.000000
0,COPACABANA,DISPERSO,DISPERSO,PERIURBANO,30541.000000
0,ENVIGADO,DISPERSO,DISPERSO,PERIURBANO,37049.000000
0,GIRARDOTA,DISPERSO,DISPERSO,PERIURBANO,41098.000000
0,LA ESTRELLA,DISPERSO,DISPERSO,PERIURBANO,2631.000000
0,SABANETA,DISPERSO,DISPERSO,PERIURBANO,7124.000000
